,MESH_ID,PTN_2015
0,513775983,442.2164
1,513775984,908.3744
2,513775993,762.4753
3,513776804,337.2042
4,513776812,103.9995
5,513776813,1216.2927
6,513776814,1748.7285
7,513776821,201.1563
8,513776823,524.7893
9,513776824,172.2308
10,513776844,12.0204
11,513776853,106.0213
12,513776901,56.9827
13,513776902,257.8158
14,513776904,31.0586
15,513776911,650.9047
16,513776912,235.0255
17,513776913,235.9521
18,513776914,275.9704
19,513776921,136.1502
20,513776922,41.0326
21,513776923,95.0989
22,513776924,209.002
23,513776932,70.0536
24,513776934,93.0286
25,513776941,2.0002
26,513776942,113.0032
27,513776943,132.1467
28,513776944,144.986
29,513776951,162.0415
30,513776953,112.9826
31,513776962,6.9908
32,513776963,9.0003
33,513776964,11.0086
34,513776973,5.0006
35,513776994,5.9965
36,513777903,93.9939
37,513777904,19.0068
38,513870594,1.9864
39,513870692,197.3542
40,513870693,217.385
41,513870694,394.2295
42,513870764,3.0004
43,513870771,23.9252
44,513870772,40.8787
45,513870774,57.9605
46,513870781,20.9287
47,513870782,60.8712
48,513870783,255.2848
49,513870784,301.3534
50,513870791,191.5274
51,513870792,369.574
52,513870793,460.9562
53,513870794,574.9888
54,513870833,2.9956
55,513870834,4.0014
56,513870842,63.9009
57,513870844,52.9559
58,513870852,145.9547
59,513870853,138.9136
60,513870854,354.9252
61,513870862,113.6708
62,513870863,601.8574
63,513870864,509.3973
64,513870871,85.7764
65,513870872,280.4503
66,513870873,76.764
67,513870881,260.3295
68,513870882,204.668
69,513870884,102.6723
70,513870891,587.837
71,513870892,686.5482
72,513870893,304.9591
73,513870894,66.8612
74,513870903,5.9926
75,513870904,17.9936
76,513870913,7.01
77,513870914,47.9942
78,513870922,83.9117
79,513870923,211.0256
80,513870924,152.9908
81,513870931,45.941
82,513870932,75.9978
83,513870933,286.8415
84,513870934,265.6851
85,513870941,211.964
86,513870942,202.0063
87,513870943,385.828
88,513870944,284.9372
89,513870951,157.0134
90,513870952,526.8301
91,513870953,367.7595
92,513870954,35.9596
93,513870961,393.9397
94,513870962,158.5046
95,513870963,67.9931
96,513870964,134.9025
