KEY_CODE,T000918001,T000918002,T000918003,T000918004,T000918005,T000918006,T000918007,T000918008,T000918009,T000918010,T000918011,T000918012,T000918013,T000918014,T000918015,T000918016,T000918017,T000918018,T000918019,T000918020,T000918021,T000918022,T000918023,T000918024,T000918025,T000918026,T000918027,T000918028,T000918029,T000918030,T000918031,T000918032,T000918033,T000918034,T000918035,T000918036,T000918037,T000918038,T000918039,T000918040
,Ç`Å`ÇqëSéYã∆ÅiÇråˆñ±ÇèúÇ≠Åj,ÇbÅ`ÇdëÊÇQéüéYã∆,Çbçzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆,Çcåöê›ã∆,Çdêªë¢ã∆,ÇeÅ`ÇqëÊÇRéüéYã∆,ÇeìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆,ÇfèÓïÒí êMã∆,Çgâ^óAã∆ÅCóXï÷ã∆,ÇhâµîÑã∆ÅCè¨îÑã∆,Çiã‡óZã∆ÅCï€åØã∆,ÇjïsìÆéYã∆ÅCï®ïií¿ë›ã∆,Çkäwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆,Çlèhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆,Çmê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆,Çnã≥àÁÅCäwèKéxâáã∆,Çoà„ó√ÅCïüéÉ,Çpï°çáÉTÅ[ÉrÉXéñã∆,ÇqÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅj,Ç`Å`ÇqëSéYã∆ÅiÇråˆñ±ÇèúÇ≠Åj,ÇbÅ`ÇdëÊÇQéüéYã∆,Çbçzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆,Çcåöê›ã∆,Çdêªë¢ã∆,ÇeÅ`ÇqëÊÇRéüéYã∆,ÇeìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆,ÇfèÓïÒí êMã∆,Çgâ^óAã∆ÅCóXï÷ã∆,ÇhâµîÑã∆ÅCè¨îÑã∆,Çiã‡óZã∆ÅCï€åØã∆,ÇjïsìÆéYã∆ÅCï®ïií¿ë›ã∆,Çkäwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆,Çlèhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆,Çmê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆,Çnã≥àÁÅCäwèKéxâáã∆,Çoà„ó√ÅCïüéÉ,Çpï°çáÉTÅ[ÉrÉXéñã∆,ÇqÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅj,íj-Ç`Å`ÇqëSéYã∆ÅiÇråˆñ±ÇèúÇ≠Åj,èó-Ç`Å`ÇqëSéYã∆ÅiÇråˆñ±ÇèúÇ≠Åj
523900903,2,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,1,2
523902484,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,5,1
523902492,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11
523902683,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9,8,0,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8,1
523902781,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,22,8,0,8,0,14,0,0,0,0,0,0,0,0,0,0,14,0,0,12,10
523902783,10,2,0,1,1,8,0,0,0,4,0,0,1,1,1,0,0,1,0,28,8,0,2,6,20,0,0,0,11,0,0,3,2,1,0,0,3,0,13,15
523902884,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
523902981,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,1,3
523902982,9,2,0,0,2,7,1,0,0,2,0,0,0,3,0,1,0,0,0,152,26,0,0,26,126,98,0,0,15,0,0,0,9,0,4,0,0,0,114,38
523902983,51,9,0,8,1,42,0,0,1,23,0,2,1,11,2,0,2,0,0,218,87,0,80,7,131,0,0,3,69,0,5,3,27,7,0,17,0,0,137,81
523902984,16,2,0,2,0,14,0,0,0,4,0,0,0,4,1,1,0,0,4,90,11,0,11,0,79,0,0,0,17,0,0,0,44,1,1,0,0,16,42,48
523902993,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
523903124,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1
523903133,15,0,0,0,0,15,0,0,0,7,0,0,0,3,0,1,1,1,2,38,0,0,0,0,38,0,0,0,15,0,0,0,4,0,1,2,3,13,23,15
523903134,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,12,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0,10,10,2
523903143,3,1,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,15,10,0,10,0,5,0,0,0,2,0,0,0,0,3,0,0,0,0,14,1
523903144,19,4,0,2,2,15,0,0,0,8,1,0,0,3,1,0,2,0,0,81,15,0,9,6,66,0,0,0,33,4,0,0,8,2,0,19,0,0,38,43
523903153,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9,2,0,0,2,7,0,0,7,0,0,0,0,0,0,0,0,0,0,6,3
523903213,9,3,0,2,1,6,0,0,0,3,0,0,1,0,1,0,0,0,1,29,13,0,11,2,16,0,0,0,8,0,0,1,0,1,0,0,0,6,17,12
523903214,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
523903221,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
523903222,6,2,0,2,0,4,0,0,0,2,0,0,0,1,0,0,1,0,0,39,15,0,15,0,24,0,0,0,6,0,0,0,1,0,0,17,0,0,19,20
523903231,2,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,11,9,0,9,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,7,4
523903241,3,1,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,105,100,0,100,0,5,0,0,0,3,0,0,0,2,0,0,0,0,0,104,1
523903242,13,3,0,2,1,10,0,0,0,4,0,0,0,2,1,0,2,0,1,45,9,0,3,6,36,0,0,0,15,0,0,0,6,1,0,9,0,5,21,24
523903243,2,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2,0,2,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,2
523903244,17,3,0,3,0,14,0,0,0,1,0,0,0,8,2,0,2,1,0,73,22,0,22,0,51,0,0,0,2,0,0,0,18,7,0,20,4,0,34,39
523903251,8,3,0,2,1,5,0,0,0,3,0,0,0,1,1,0,0,0,0,21,12,0,7,5,9,0,0,0,5,0,0,0,2,2,0,0,0,0,13,8
523903253,8,0,0,0,0,8,0,0,0,4,0,0,0,1,0,0,0,1,2,31,0,0,0,0,31,0,0,0,12,0,0,0,3,0,0,0,5,11,18,13
523903302,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
523903304,3,1,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,11,7,0,7,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,6,5
523903311,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
523903331,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,8,2
523903332,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
523903334,4,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,2,0,0,128,0,0,0,0,128,0,0,0,0,0,0,0,15,0,0,113,0,0,66,62
523903803,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
523910001,26,1,0,0,1,25,0,0,0,3,0,1,0,17,2,1,1,0,0,398,2,0,0,2,396,0,0,0,10,0,3,0,196,4,5,178,0,0,176,222
523910002,24,0,0,0,0,24,0,0,0,5,0,0,0,16,1,0,0,0,2,63,0,0,0,0,63,0,0,0,13,0,0,0,45,1,0,0,0,4,29,34
523910003,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,5,2
523910004,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1
523910013,5,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,1,16,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,1,10,6
523910014,11,2,0,2,0,9,0,0,0,4,0,0,0,5,0,0,0,0,0,52,2,0,2,0,50,0,0,0,8,0,0,0,42,0,0,0,0,0,27,25
523910103,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,1,7
